Freq.	V(vout)
1.99526231496886e+004	2.94131225715551e-013,3.89748191593808e-013
2.23872113856832e+004	2.70224261477658e-013,3.11990595507726e-013
2.51188643150956e+004	2.43647314251539e-013,2.46290637580895e-013
2.81838293126443e+004	2.15924401626797e-013,1.91801992244001e-013
3.16227766016835e+004	1.88364925711345e-013,1.47442828385040e-013
3.54813389233572e+004	1.62004583560951e-013,1.11975382477535e-013
3.98107170553494e+004	1.37582352717691e-013,8.40971491999281e-014
4.46683592150959e+004	1.15552338546784e-013,6.25270535402339e-014
5.01187233627268e+004	9.61220573395219e-014,4.60740429629545e-014
5.62341325190344e+004	7.93053608884999e-014,3.36820254066467e-014
6.30957344480187e+004	6.49787156909600e-014,2.44512803043366e-014
7.07945784384131e+004	5.29325348606661e-014,1.76406387615951e-014
7.94328234724274e+004	4.29129874330063e-014,1.26564535106200e-014
8.91250938133737e+004	3.46529137973593e-014,9.03419707608191e-015
9.99999999999990e+004	2.78926091145871e-014,6.41730557601774e-015
1.12201845430195e+005	2.23923059482700e-014,4.53637349637789e-015
1.25892541179415e+005	1.79384717508739e-014,3.19045646697461e-015
1.41253754462274e+005	1.43458623930048e-014,2.23123846844668e-015
1.58489319246110e+005	1.14568989085750e-014,1.55017705045394e-015
1.77827941003891e+005	9.13952492881785e-015,1.06838482554261e-015
1.99526231496886e+005	7.28434014707411e-015,7.28848810534084e-016
2.23872113856832e+005	5.80152041049860e-015,4.90553684086411e-016
2.51188643150955e+005	4.61782820072734e-015,3.24104225886290e-016
2.81838293126442e+005	3.67387608737587e-015,2.08499591997773e-016
3.16227766016835e+005	2.92171462819849e-015,1.28776449654027e-016
3.54813389233572e+005	2.32276075612701e-015,7.42984268667342e-017
3.98107170553493e+005	1.84605137593691e-015,3.75211982923466e-017
4.46683592150958e+005	1.46679113725070e-015,1.31046980677518e-017
5.01187233627267e+005	1.16515717391618e-015,-2.72297073778892e-018
5.62341325190343e+005	9.25323000081866e-016,-1.26200545466697e-017
6.30957344480186e+005	7.34666153938970e-016,-1.84552094059155e-017
7.07945784384130e+005	5.83127984758619e-016,-2.15381267054735e-017
7.94328234724273e+005	4.62698240705186e-016,-2.27834114225758e-017
8.91250938133736e+005	3.67001304016834e-016,-2.28268752087372e-017
1.00000000000000e+006	2.90964765812637e-016,-2.21079621026725e-017
