Freq.	V(vout)
2.51188643150956e+003	3.34592787445079e-012,1.59614197884506e-013
2.81838293126443e+003	2.72440919313578e-012,-2.29801251431131e-013
3.16227766016836e+003	2.15803334913406e-012,-4.89672373006337e-013
3.54813389233573e+003	1.65453741332948e-012,-6.41274002099147e-013
3.98107170553494e+003	1.21907082392937e-012,-7.05135577624972e-013
4.46683592150960e+003	8.54198687604093e-013,-7.01099714451479e-013
5.01187233627269e+003	5.59730983870872e-013,-6.48146573228062e-013
5.62341325190345e+003	3.32595454570480e-013,-5.63927611743874e-013
6.30957344480189e+003	1.66949697176655e-013,-4.64096950322736e-013
7.07945784384133e+003	5.46295139603770e-014,-3.61620919153236e-013
7.94328234724276e+003	-1.40914617120299e-014,-2.66259806506939e-013
8.91250938133739e+003	-4.95522372831699e-014,-1.84362580943490e-013
9.99999999999992e+003	-6.17323026440501e-014,-1.19029028975823e-013
1.12201845430195e+004	-5.94201575007445e-014,-7.06071427976048e-014
1.25892541179416e+004	-4.96459660115144e-014,-3.74265648252299e-014
1.41253754462274e+004	-3.74408966687688e-014,-1.66296252601930e-014
1.58489319246110e+004	-2.59162038054871e-014,-4.95355706443380e-015
1.77827941003891e+004	-1.65904958889556e-014,6.57491067404483e-016
1.99526231496886e+004	-9.85037680356106e-015,2.67859768906923e-015
2.23872113856832e+004	-5.42130222892852e-015,2.86996447742760e-015
2.51188643150956e+004	-2.75330412114958e-015,2.32767485032469e-015
2.81838293126443e+004	-1.27586589740484e-015,1.63650292064706e-015
3.16227766016835e+004	-5.25288185663226e-016,1.04681679860873e-015
3.54813389233572e+004	-1.78719589366822e-016,6.24296237769118e-016
3.98107170553494e+004	-3.68654481976111e-017,3.52407321318801e-016
4.46683592150959e+004	1.10870620792964e-017,1.90312753862859e-016
5.01187233627268e+004	2.09522569034093e-017,9.91292298003492e-017
5.62341325190344e+004	1.80834716980225e-017,5.01275363214233e-017
6.30957344480187e+004	1.26393638869333e-017,2.47400869643527e-017
7.07945784384131e+004	7.96461816287195e-018,1.19694544644179e-017
7.94328234724274e+004	4.71468636731180e-018,5.69709503708786e-018
8.91250938133737e+004	2.67666869697925e-018,2.67552000547836e-018
9.99999999999990e+004	1.47530651669767e-018,1.24268743783738e-018
1.12201845430195e+005	7.95670705162127e-019,5.71907781898598e-019
1.25892541179415e+005	4.22177721518007e-019,2.61172997674643e-019
